��ºм�,,,,
[�˻�����],,,,
�ڷᱸ�� : ��,,,,
�ڷ����� : �⺻,,,,
����/���� : ����,,,,
�Ⱓ : 20200302~20230302,,,,

date,point,avg,low,high

"	2020-06-30",108,20.1,18.4,23.1
"	2020-07-01",108,21.1,18.1,24.3
"	2020-07-02",108,24.2,20.4,29.8
"	2020-07-03",108,25.5,21.6,30.6
"	2020-07-04",108,24.2,20.4,29.5
"	2020-07-05",108,23.8,19.9,27.6
"	2020-07-06",108,25.6,21.8,30.9
"	2020-07-07",108,24.1,22.1,28.1
"	2020-07-08",108,25.5,21.3,30.4
"	2020-07-09",108,27.5,21.8,32.9
"	2020-07-10",108,24.5,22.7,27.7
"	2020-07-11",108,25.8,22.2,30.2
"	2020-07-12",108,23.5,21.7,26
"	2020-07-13",108,18.7,17.7,21.7
"	2020-07-14",108,20.3,17.2,24.3
"	2020-07-15",108,23.4,18.9,28.7
"	2020-07-16",108,25,20.4,29.7
"	2020-07-17",108,26,21.5,31.6
"	2020-07-18",108,26.1,22.8,31
"	2020-07-19",108,24,20.6,26.6
"	2020-07-20",108,23.8,22.4,26.6
"	2020-07-21",108,25,21.4,30.5
"	2020-07-22",108,23.7,22.6,25.7
"	2020-07-23",108,21.1,18.5,22.6
"	2020-07-24",108,22.5,18.7,26.8
"	2020-07-25",108,24.3,22.3,29
"	2020-07-26",108,25.4,21.6,29.6
"	2020-07-27",108,24.3,22.9,25.5
"	2020-07-28",108,24.4,22.7,26.4
"	2020-07-29",108,23.7,22.6,24.9
"	2020-07-30",108,25.3,23.4,28.4
"	2020-07-31",108,26.2,22.8,29.6
"	2020-08-01",108,25.3,24.3,26.9
"	2020-08-02",108,24.9,23.5,26.4
"	2020-08-03",108,25,23.9,26.3
"	2020-08-04",108,27,25,29.4
"	2020-08-05",108,26.5,25.5,29.1
"	2020-08-06",108,24.1,22.9,26
"	2020-08-07",108,24.3,22.6,26.1
"	2020-08-08",108,24.2,22.7,26.1
"	2020-08-09",108,24.9,23.7,25.8
"	2020-08-10",108,26.5,24.7,29.5
"	2020-08-11",108,24.6,22.4,27.3
"	2020-08-12",108,27.2,23.5,31.3
"	2020-08-13",108,28,26.3,30.3
"	2020-08-14",108,27.1,26.5,28
"	2020-08-15",108,26.1,25,27
"	2020-08-16",108,27.4,25.3,30.8
"	2020-08-17",108,28.2,26.1,32.2
"	2020-08-18",108,27.5,24,31.9
"	2020-08-19",108,27.1,23.6,31.4
"	2020-08-20",108,27.7,25,31.7
"	2020-08-21",108,26.6,25.2,29.2
"	2020-08-22",108,24.3,21.7,27.6
"	2020-08-23",108,25.3,21.5,29.9
"	2020-08-24",108,27.8,23.7,32
"	2020-08-25",108,29.9,26,34.5
"	2020-08-26",108,30.2,27,34.5
"	2020-08-27",108,27.1,25.6,28.6
"	2020-08-28",108,27.3,26,29.7
"	2020-08-29",108,26.8,25.5,29
"	2020-08-30",108,26.8,24.4,30.6
"	2020-08-31",108,26.4,23.8,30
"	2020-09-01",108,26.6,23.8,29.5
"	2020-09-02",108,24.3,22.6,26.4
"	2020-09-03",108,22.7,20,25.6
"	2020-09-04",108,23.3,19.9,27.5
"	2020-09-05",108,23.3,19.2,27.3
"	2020-09-06",108,21.7,19.5,24.4
"	2020-09-07",108,19.2,17.5,20.6
"	2020-09-08",108,23.4,20.6,26.5
"	2020-09-09",108,21.1,19,25.3
"	2020-09-10",108,22.8,18.8,27
"	2020-09-11",108,22.4,19.2,27.1
"	2020-09-12",108,20.2,18.1,23.2
"	2020-09-13",108,21.5,16.7,26.6
"	2020-09-14",108,21.3,17.6,24.9
"	2020-09-15",108,23,18.9,27.7
"	2020-09-16",108,22.5,21.3,24.9
"	2020-09-17",108,21.3,20.1,23.6
"	2020-09-18",108,21.5,18.1,25.8
"	2020-09-19",108,21.2,17.6,26.2
"	2020-09-20",108,19.7,15.6,24.9
"	2020-09-21",108,19.1,13.6,25.3
"	2020-09-22",108,20.2,15.5,25.6
"	2020-09-23",108,19.2,15.2,23.8
"	2020-09-24",108,20.6,16.8,25.4
"	2020-09-25",108,20.1,16.6,25.4
"	2020-09-26",108,19.3,14.8,24.8
"	2020-09-27",108,20.4,14.9,25.8
"	2020-09-28",108,20.7,15.7,26.5
"	2020-09-29",108,19.6,15.3,23.9
"	2020-09-30",108,19.6,16.2,25.7
"	2020-10-01",108,18.8,15.6,23.6
"	2020-10-02",108,19.2,16.3,21.9
"	2020-10-03",108,19.9,18.3,23.2
"	2020-10-04",108,16.6,10.6,21.8
"	2020-10-05",108,13.3,8.5,18.4
"	2020-10-06",108,14.2,9.3,19.7
"	2020-10-07",108,16,9.9,22
"	2020-10-08",108,17.2,12.1,23.1
"	2020-10-09",108,17.2,12.4,23.3
"	2020-10-10",108,16.9,12.3,21.5
"	2020-10-11",108,16.9,12.7,20.8
"	2020-10-12",108,16.2,12.1,21.3
"	2020-10-13",108,13.6,8.6,18.4
"	2020-10-14",108,12.8,8.5,18
"	2020-10-15",108,11.7,6.5,18.5
"	2020-10-16",108,11.8,8.6,15.4
"	2020-10-17",108,13.1,8.7,18.6
"	2020-10-18",108,13.6,7.2,20.2
"	2020-10-19",108,15.1,9.8,21.3
"	2020-10-20",108,15.2,9.9,21.7
"	2020-10-21",108,14.1,11.8,17.3
"	2020-10-22",108,13.5,8.4,18.2
"	2020-10-23",108,8.6,5.4,13.3
"	2020-10-24",108,8.7,3.2,14
"	2020-10-25",108,11.8,5.4,18.2
"	2020-10-26",108,12.9,8,19
"	2020-10-27",108,14,9,19.4
"	2020-10-28",108,13.8,8.6,18.2
"	2020-10-29",108,10.8,5.5,16.1
"	2020-10-30",108,11.9,5.8,19.6
"	2020-10-31",108,13.6,8.5,18.2
"	2020-11-01",108,13.7,11.6,15
"	2020-11-02",108,10.8,7.9,15.6
"	2020-11-03",108,5.1,2.7,8.6
"	2020-11-04",108,4.9,0.2,10.8
"	2020-11-05",108,9.6,3.4,15.9
"	2020-11-06",108,13.5,9.9,17.2
"	2020-11-07",108,14.6,12.2,18.1
"	2020-11-08",108,8.5,3.1,12.4
"	2020-11-09",108,5.5,0.7,8.9
"	2020-11-10",108,7.7,3.5,12.9
"	2020-11-11",108,9.3,3.5,16.5
"	2020-11-12",108,10.4,4.6,17.7
"	2020-11-13",108,12.2,8.5,17.6
"	2020-11-14",108,12.5,6.8,19.3
"	2020-11-15",108,11.1,8.2,14.9
"	2020-11-16",108,12.4,7.5,18.3
"	2020-11-17",108,15.9,11.7,20
"	2020-11-18",108,16.6,14.8,18.7
"	2020-11-19",108,13.6,6.9,19.1
"	2020-11-20",108,2.8,0.3,7
"	2020-11-21",108,6.5,-0.3,12.8
"	2020-11-22",108,5.6,1.5,9.1
"	2020-11-23",108,1.7,-1.5,5.9
"	2020-11-24",108,2.9,0.2,6.4
"	2020-11-25",108,4.6,0,9.5
"	2020-11-26",108,5.6,1.9,10.9
"	2020-11-27",108,4.1,0.6,7.7
"	2020-11-28",108,-0.1,-2.3,2.8
"	2020-11-29",108,-0.6,-3.6,2.6
"	2020-11-30",108,-0.2,-3.6,4.3
"	2020-12-01",108,1.1,-3.6,6.7
"	2020-12-02",108,2.4,0.5,6.1
"	2020-12-03",108,0.7,-2.3,4.2
"	2020-12-04",108,-0.6,-4.6,4.4
"	2020-12-05",108,2.1,-2.2,6.6
"	2020-12-06",108,4.5,1.2,9.1
"	2020-12-07",108,3.4,-0.7,6.3
"	2020-12-08",108,-0.5,-3.5,4.1
"	2020-12-09",108,1.5,-4.1,6.2
"	2020-12-10",108,5.8,3.2,9.3
"	2020-12-11",108,5.3,2.6,9.4
"	2020-12-12",108,2.3,-0.3,6.1
"	2020-12-13",108,-1.1,-6,2
"	2020-12-14",108,-7.7,-9.7,-5
"	2020-12-15",108,-8.3,-11.1,-4.6
"	2020-12-16",108,-8.3,-11.2,-3.9
"	2020-12-17",108,-4.9,-11.1,0.8
"	2020-12-18",108,-2.1,-6.4,1.8
"	2020-12-19",108,-5.1,-9.6,-1.2
"	2020-12-20",108,-3.7,-8.2,1.1
"	2020-12-21",108,-1,-6,4.7
"	2020-12-22",108,2,-2.5,7.2
"	2020-12-23",108,4.5,-0.4,8.5
"	2020-12-24",108,2.6,-2,6.1
"	2020-12-25",108,-0.8,-4.7,3.5
"	2020-12-26",108,2.2,-2.1,8
"	2020-12-27",108,5.8,1.4,10
"	2020-12-28",108,6.7,4.2,11.4
"	2020-12-29",108,0.1,-6.2,4.3
"	2020-12-30",108,-10.9,-12.9,-6.2
"	2020-12-31",108,-8.9,-12.9,-5
"	2021-01-01",108,-4.2,-9.8,1.6
"	2021-01-02",108,-5,-8.4,-1.4
"	2021-01-03",108,-5.6,-9.1,-2
"	2021-01-04",108,-3.5,-8.4,0.3
"	2021-01-05",108,-5.5,-9.9,-2.1
"	2021-01-06",108,-7.4,-12,-1.9
"	2021-01-07",108,-14.5,-16.5,-8.4
"	2021-01-08",108,-14.9,-18.6,-10.7
"	2021-01-09",108,-12.2,-16.6,-7.5
"	2021-01-10",108,-7.7,-12.8,-2.7
"	2021-01-11",108,-6.7,-9.6,-4
"	2021-01-12",108,-3.9,-9.3,-0.5
"	2021-01-13",108,2,-3,8.3
"	2021-01-14",108,1.7,-3.6,7
"	2021-01-15",108,4.5,-0.7,9.9
"	2021-01-16",108,-4.9,-8.7,-0.7
"	2021-01-17",108,-5.5,-10.8,-1.3
"	2021-01-18",108,-3.8,-9.1,0.2
"	2021-01-19",108,-6.3,-11.6,-0.2
"	2021-01-20",108,-0.1,-6.6,7.1
"	2021-01-21",108,4.5,2.5,7
"	2021-01-22",108,5.5,4.8,6.6
"	2021-01-23",108,7.6,4.8,12.2
"	2021-01-24",108,7.3,2.4,13.9
"	2021-01-25",108,7.9,3,13.9
"	2021-01-26",108,5.3,1.7,7.4
"	2021-01-27",108,1.7,-1.8,6.5
"	2021-01-28",108,-2.6,-9.7,1.4
"	2021-01-29",108,-8.8,-11.6,-4.9
